Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Kentucky,SEC,38,2,77.4,60.6,16.8,7.93,13.97,10.75,24.73,2012
2,Ohio State,Big Ten,31,8,74.7,59.8,14.87,9.07,12.58,11.37,23.95,2012
3,Kansas,Big 12,32,7,73.5,61.7,11.79,9.93,11.17,10.55,21.72,2012
4,North Carolina,ACC,32,6,81.3,67.1,14.26,7.07,17.03,4.3,21.34,2012
5,Michigan State,Big Ten,29,8,71.6,59.3,12.32,9.82,8.73,12.58,21.32,2012
6,Syracuse,Big East,34,3,74.1,61,13.11,8.02,11.14,9.99,21.12,2012
7,Missouri,Big 12,30,5,80.4,66.3,14.09,5.68,16.13,3.64,19.77,2012
8,Wisconsin,Big Ten,26,10,64,53.2,10.81,8.24,0.58,18.47,19.04,2012
9,Indiana,Big Ten,27,9,77.3,66.4,10.83,7.8,14.53,4.1,18.63,2012
10,Florida,SEC,26,11,75.9,65,10.92,7.33,13.34,4.91,18.25,2012
11,Wichita State,MVC,27,6,77.1,62.4,14.7,3.8,10.64,6.79,17.42,2012
12,Duke,ACC,27,7,77.3,68.6,8.65,8.4,13.75,3.3,17.05,2012
13,Marquette,Big East,27,8,75.4,65.9,9.43,7.5,12.11,4.82,16.92,2012
14,Memphis,CUSA,26,9,74.7,63.1,11.6,5.26,11.14,5.72,16.86,2012
15,Georgetown,Big East,24,9,69,59.4,9.67,7.69,4.49,12.32,16.81,2012
16,Baylor,Big 12,30,8,74.7,65.3,9.37,8.03,10.2,6.34,16.54,2012
17,Louisville,Big East,30,10,68.2,61,7.18,9.02,4.73,11.46,16.19,2012
18,Vanderbilt,SEC,25,11,72.6,65,7.67,8.04,9.36,6.35,15.71,2012
19,New Mexico,MWC,28,7,72.7,59.3,13.4,3.34,6.64,8.96,15.6,2012
20,Saint Louis,A-10,26,8,68.7,57.6,11.06,4.06,2.48,12.67,15.15,2012
21,Florida State,ACC,25,10,69.8,62.9,6.91,7.62,6,8.54,14.53,2012
