Rk,School,Conf,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Year
1,Indiana,Big Ten,29,7,78.6,62.1,16.53,8.39,16.85,8.07,24.92,2013
2,Louisville,Big East,35,5,74.5,58.8,15.68,9.14,12.78,12.04,24.82,2013
3,Florida,SEC,29,8,71.4,54.4,17.03,6.85,7.92,15.96,23.88,2013
4,Duke,ACC,30,6,77.2,65.3,11.89,9.57,14.2,7.26,21.46,2013
5,Michigan,Big Ten,31,8,75.2,63.3,11.92,10.05,13.47,7.82,21.29,2013
6,Kansas,Big 12,31,6,75.2,61.9,13.24,7.55,11.67,9.12,20.79,2013
7,Gonzaga,WCC,32,3,77,59.9,17.17,4.14,11.34,9.1,20.44,2013
8,Syracuse,Big East,30,10,70.4,58.7,11.73,8.57,8.12,12.18,20.3,2013
9,Ohio State,Big Ten,29,8,70.2,59.4,10.86,9.33,9.21,10.99,20.19,2013
10,Pittsburgh,Big East,24,9,69.2,56,13.18,5.66,4.68,14.16,18.84,2013
11,Wisconsin,Big Ten,23,12,65,55.9,9.03,9.73,3.16,15.6,18.76,2013
12,Michigan State,Big Ten,27,9,68,59.1,8.86,10.55,5.78,12.86,18.63,2013
13,Arizona,Pac-12,27,8,73.4,63.6,9.83,7.48,10.25,7.07,17.31,2013
14,Miami (FL),ACC,29,7,69.7,60.6,9.11,7.87,5.28,11.71,16.98,2013
15,Virginia Commonwealth,A-10,27,9,76.9,64.5,12.42,4.55,11.51,5.46,16.97,2013
16,Minnesota,Big Ten,21,13,68.7,62.2,6.53,10.31,7.55,9.29,16.84,2013
17,Creighton,MVC,28,8,74.4,63.2,11.28,5.15,10.26,6.17,16.43,2013
18,Georgetown,Big East,25,7,64.7,56.4,8.25,7.61,1.43,14.43,15.86,2013
19,Oklahoma State,Big 12,24,9,71.8,63,8.85,6.72,7.6,7.97,15.57,2013
20,Missouri,SEC,23,11,76.1,66.7,9.41,6.01,11.65,3.78,15.42,2013
21,Baylor,Big 12,23,14,76,66.4,9.59,7.12,11.32,3.75,15.07,2013
22,Wichita State,MVC,30,9,69.7,61.2,8.59,6.09,5.46,9.22,14.68,2013
23,North Carolina,ACC,25,11,76.7,69.2,7.5,8.06,12.85,1.72,14.57,2013
24,Iowa State,Big 12,23,12,79.4,71,8.37,6.13,15.4,-0.89,14.5,2013
25,Cincinnati,Big East,22,12,66.5,59,7.53,6.94,3.83,10.64,14.47,2013
26,Saint Mary's (CA),WCC,28,7,74.6,62.9,11.63,3.26,8.75,5.71,14.46,2013
27,Mississippi,SEC,27,9,77.2,66.9,10.28,4.17,12.96,1.48,14.44,2013
28,Saint Louis,A-10,28,7,68.2,58.2,10.06,4.29,3.48,10.87,14.35,2013
29,NC State,ACC,24,11,77.4,70.2,7.14,7.19,13.6,0.73,14.34,2013
30,Iowa,Big Ten,25,13,70.1,62.8,7.29,6.93,8.03,6.2,14.22,2013
31,Marquette,Big East,26,9,68.1,62.6,5.46,8.59,7.3,6.75,14.05,2013
32,Kentucky,SEC,21,12,72.6,64.5,8.15,5.81,9.16,4.8,13.96,2013
33,Oregon,Pac-12,28,9,71.6,63.6,8.05,5.73,8.26,5.52,13.78,2013
34,Notre Dame,Big East,25,10,70,63.5,6.51,7.24,6.69,7.06,13.76,2013
35,Colorado State,MWC,26,9,72.9,63.7,9.26,5.84,9.02,4.58,13.6,2013
36,Kansas State,Big 12,27,8,69,60.4,8.54,6.54,4.18,9.36,13.54,2013
37,New Mexico,MWC,29,6,67.3,60.6,6.66,6.59,4.58,8.66,13.24,2013
38,Illinois,Big Ten,23,13,68.5,64.8,3.69,10.04,6.85,6.33,13.18,2013
39,San Diego State,MWC,23,11,69.3,61.1,8.21,6.14,4.91,8.04,12.95,2013
40,Virginia,ACC,23,12,64.2,55.6,8.66,4.25,-0.64,13.55,12.91,2013
41,UCLA,Pac-12,25,10,74.4,69.3,5.06,7.77,11.84,0.98,12.82,2013
42,Nevada-Las Vegas,MWC,25,10,71.4,63,8.34,5.6,6.81,6,12.81,2013
43,Memphis,CUSA,31,5,74.5,64.9,9.56,2.73,7.7,4.58,12.28,2013
44,Colorado,Pac-12,21,12,67.6,63.6,4,7.91,4.3,7.62,11.91,2013
45,Connecticut,Big East,20,10,69.9,65.4,4.47,7.42,7.52,4.37,11.89,2013
46,Oklahoma,Big 12,20,12,70.6,66.3,4.31,7.08,7.27,4.12,11.4,2013
47,Maryland,ACC,25,13,70.7,64,6.71,4.68,5.62,5.78,11.39,2013
48,Stanford,Pac-12,19,15,70.5,66.5,4.03,7.33,7.17,4.19,11.36,2013
49,Middle Tennessee,Sun Belt (East),28,6,70.7,58.1,12.68,-1.5,2.82,8.35,11.18,2013
50,Butler,A-10,27,9,69.3,63.9,5.44,6.09,4.32,6.68,11.01,2013
51,Villanova,Big East,20,14,67.9,65.1,2.74,8.54,5.98,4.77,10.75,2013
52,Brigham Young,WCC,24,12,77.1,69.5,7.64,3.72,10.86,-0.23,10.63,2013
53,California,Pac-12,21,12,67.2,64.3,2.88,7.71,4.43,6.17,10.59,2013
54,Belmont,OVC (East),26,7,76.8,64.5,12.24,-0.92,7.37,3.04,10.41,2013
55,La Salle,A-10,24,10,72.1,66.4,5.68,4.47,6.78,3.37,10.15,2013
56,Arkansas,SEC,19,13,73.7,68.8,4.84,4.99,10.31,-0.48,9.83,2013
57,Alabama,SEC,23,13,63,58.4,4.61,5.96,-1.77,11.58,9.82,2013
58,Illinois State,MVC,18,15,74.5,68.6,5.91,3.7,10.18,-0.57,9.61,2013
59,Temple,A-10,24,10,72.2,67.9,4.32,5.21,6.78,2.76,9.54,2013
60,Boise State,MWC,21,11,73.2,65.5,7.75,5.21,6.9,2.48,9.38,2013
61,Dayton,A-10,17,14,71.8,66.7,5.1,4.28,7.35,2.02,9.37,2013
62,Providence,Big East,19,15,67.6,64.9,2.74,6.56,4.65,4.65,9.3,2013
63,Denver,WAC,22,10,64.9,55.9,8.94,0.24,-2.74,11.92,9.18,2013
64,Purdue,Big Ten,16,18,66.2,65.1,1.18,7.87,4.68,4.36,9.04,2013
65,Tennessee,SEC,20,13,66.3,63.4,2.97,6.07,3.42,5.62,9.04,2013
66,Southern Mississippi,CUSA,27,10,73.9,63.5,10.41,1.49,4.88,4.07,8.95,2013
67,Arizona State,Pac-12,22,13,71.8,67.5,4.26,4.57,5.77,3.05,8.82,2013
68,Northern Iowa,MVC,21,15,66.7,61.9,4.75,5.21,0.94,7.64,8.58,2013
69,Akron,MAC (East),26,7,71.8,62.8,9.03,0.18,4.29,3.83,8.12,2013
70,Washington,Pac-12,18,16,67.9,67.2,0.71,7.18,4.16,3.72,7.88,2013
71,Xavier,A-10,17,14,65.2,62.5,2.74,4.97,0.6,7.12,7.71,2013
72,Saint Joseph's,A-10,18,14,67.2,63.9,3.28,4.05,1.72,5.61,7.33,2013
73,Davidson,Southern (South),26,8,73.2,62.1,11.18,-3.43,4.62,2.68,7.3,2013
74,Valparaiso,Horizon,26,8,71.2,62.3,8.85,-1.12,4.35,2.8,7.15,2013
75,Bucknell,Patriot,28,6,67,57.8,9.15,-1.95,-0.53,7.5,6.96,2013
76,Ohio,MAC (East),24,10,72.5,64.5,8,-1.05,5.51,1.44,6.95,2013
77,Richmond,A-10,19,15,70,66.5,3.47,3.45,4.36,2.57,6.92,2013
78,Texas,Big 12,16,18,65.6,65.6,-0.09,6.54,1.82,5.02,6.84,2013
79,Detroit Mercy,Horizon,20,13,77.8,70.9,6.91,1.62,11.66,-4.94,6.72,2013
80,Washington State,Pac-12,13,19,64.4,63,1.44,5.22,-0.27,6.92,6.65,2013
81,Georgia Tech,ACC,16,15,64.3,62.4,1.94,4.69,-0.67,7.29,6.62,2013
82,Santa Clara,WCC,26,12,74.4,67.8,6.58,1.68,8,-1.46,6.54,2013
83,Texas A&M,SEC,18,15,63.7,62.1,1.64,4.87,-0.86,7.37,6.51,2013
84,Southern California,Pac-12,14,18,65.7,67.6,-1.94,8.19,3.18,3.07,6.26,2013
85,Vanderbilt,SEC,16,17,60.3,60.1,0.21,6.05,-4.22,10.48,6.26,2013
86,Boston College,ACC,16,17,67.1,68.1,-0.94,7.04,4.01,2.1,6.11,2013
87,Oregon State,Pac-12,14,18,72,70.3,1.75,4.26,7.78,-1.76,6.01,2013
88,Rutgers,Big East,15,16,65.4,66.2,-0.81,6.79,2.2,3.79,5.98,2013
89,Clemson,ACC,13,18,61.5,60.1,1.39,4.46,-3.54,9.39,5.85,2013
90,Massachusetts,A-10,21,12,73,71.7,1.27,4.57,8.52,-2.68,5.84,2013
91,Louisiana State,SEC,19,12,70.8,69,1.81,4.01,6.45,-0.63,5.82,2013
92,St. John's (NY),Big East,17,16,64.8,66.2,-1.36,7.18,1.4,4.42,5.82,2013
93,Weber State,Big Sky,30,7,75.7,61.5,14.19,-5.71,3.06,2.72,5.78,2013
94,Florida State,ACC,18,16,67,68.6,-1.56,7.26,3.76,1.95,5.71,2013
95,Stony Brook,AEC,25,8,68,57.5,10.52,-4.11,-0.86,6.47,5.61,2013
96,Seton Hall,Big East,15,18,64.7,65.2,-0.42,5.97,1.34,4.21,5.55,2013
97,Louisiana Tech,WAC,27,7,72.6,63.3,9.38,-2.08,3.36,2.11,5.47,2013
98,Georgia,SEC,15,17,60.8,61.6,-0.78,6.17,-3.11,8.5,5.39,2013
99,Northwestern,Big Ten,13,19,60.7,63.7,-2.94,8.29,-1.97,7.33,5.36,2013
100,Wyoming,MWC,20,14,61,59.1,1.88,4.54,-3.81,9.12,5.32,2013
101,Evansville,MVC,21,15,69.2,65.9,3.22,2.91,2.91,2.35,5.26,2013
102,North Dakota State,Summit,24,10,67.1,56.1,11,-4.01,-4.01,9.22,5.21,2013
103,New Mexico State,WAC,24,11,67.3,62.1,5.14,0.68,0.95,4.14,5.09,2013
104,Indiana State,MVC,18,15,65.4,65.6,-0.15,5.64,0.45,4.63,5.08,2013
105,Utah,Pac-12,15,18,64.2,63.2,0.94,6.63,-1.65,6.34,4.7,2013
106,UTEP,CUSA,18,14,63.8,61.6,2.25,2.37,-2.72,7.34,4.62,2013
107,West Virginia,Big 12,13,19,66.1,68.1,-1.94,6.55,0.9,3.71,4.61,2013
108,Nebraska,Big Ten,15,18,58.3,63.5,-5.18,9.58,-3.69,8.09,4.4,2013
109,South Florida,Big East,12,19,58.8,62.2,-3.42,7.72,-3.98,8.28,4.31,2013
110,George Washington,A-10,13,17,66.3,65.5,0.73,3.51,0.45,3.79,4.24,2013
111,Stephen F. Austin,Southland,27,5,64.8,51.2,13.63,-6.67,-8.63,12.86,4.23,2013
112,Air Force,MWC,18,14,70,67.8,2.22,4.16,4.05,0.01,4.06,2013
113,Iona,MAAC,20,14,80.4,76.3,4.06,0,14.63,-10.58,4.06,2013
114,Harvard,Ivy,20,10,68.3,64.1,4.17,0.17,2.61,1.35,3.96,2013
115,Lehigh,Patriot,21,10,73.1,65.2,7.87,-3,5.08,-1.11,3.96,2013
116,Utah State,WAC,21,10,68.8,63.6,5.26,-0.72,0.92,2.83,3.75,2013
117,Central Florida,CUSA,20,11,70.8,67.1,3.71,0.98,3.94,-0.48,3.46,2013
118,St. Bonaventure,A-10,14,15,72.7,72,0.72,2.73,5.54,-2.08,3.45,2013
119,Wake Forest,ACC,13,18,67.5,70.3,-2.74,6.19,3.01,0.43,3.44,2013
120,Drake,MVC,15,17,71.8,72.5,-0.72,5.13,6.83,-3.41,3.42,2013
121,Fresno State,MWC,11,19,59.9,61,-1.03,6.44,-5.27,8.46,3.19,2013
122,Princeton,Ivy,17,11,64.4,58.4,6,-1.64,-2.81,5.98,3.17,2013
123,Florida Gulf Coast,A-Sun,26,11,72.9,66.7,6.14,-1.82,4.25,-1.24,3.01,2013
124,Penn State,Big Ten,10,21,61.6,68.2,-6.61,9.47,-0.05,2.91,2.86,2013
125,Charlotte,A-10,21,12,67.5,67.6,-0.06,2.78,1.02,1.7,2.72,2013
126,East Carolina,CUSA,23,12,76.5,71,5.57,0.82,7.37,-4.81,2.57,2013
127,San Francisco,WCC,15,16,69.7,69.1,0.65,2.85,3.81,-1.38,2.44,2013
128,Canisius,MAAC,20,14,73.5,70.1,3.35,-0.98,5.76,-3.39,2.38,2013
129,Kent State,MAC (East),21,14,71,67.8,3.17,-0.82,4.81,-2.43,2.38,2013
130,South Dakota State,Summit,25,10,73.4,65.7,7.66,-3.27,3.2,-0.85,2.35,2013
131,Wright State,Horizon,23,13,62,58.5,3.56,-1.15,-5.85,8.11,2.25,2013
132,George Mason,CAA,22,16,68.1,65.9,2.18,-0.15,1.27,0.76,2.03,2013
133,Tulane,CUSA,20,15,69.6,65.7,3.91,-1.8,2.1,-0.23,1.87,2013
134,Virginia Tech,ACC,13,19,70.3,74.8,-4.53,6.34,6.18,-4.38,1.8,2013
135,DePaul,Big East,11,21,71.4,75.3,-3.91,5.61,9,-7.29,1.71,2013
136,Eastern Kentucky,OVC (East),25,10,73.9,65.8,8.09,-3.88,3.45,-1.75,1.7,2013
137,Pacific,Big West,22,13,67,63.9,3.03,0.76,-0.83,2.51,1.67,2013
138,Green Bay,Horizon,18,16,66.1,63,3.09,-0.28,-1.5,3.16,1.66,2013
139,Loyola (MD),MAAC,23,12,66.9,63.5,3.43,-2.08,-1.12,2.47,1.35,2013
140,Bradley,MVC,18,17,67.7,68.5,-0.71,1.96,2.05,-0.8,1.25,2013
141,Murray State,OVC (West),21,10,72.8,66.8,6,-2.86,2.67,-1.42,1.25,2013
142,Mercer,A-Sun,24,12,65.9,59.3,6.56,-3.82,-3.34,4.28,0.94,2013
143,Arkansas State,Sun Belt (West),19,12,68.6,62.7,5.9,-4.34,-1.75,2.54,0.79,2013
144,Niagara,MAAC,19,14,73.8,72.1,1.73,-1.14,6.6,-6.01,0.59,2013
145,UT Arlington,WAC,19,14,64.3,62.8,1.48,-0.94,-2.82,3.37,0.55,2013
